kelas;Hari;Jam;prof;Mata Kuliah;SKS;JPM;Dosen;Ruang
MICE-6D;Rabu;10.50 - 11.40;6;Penyelenggaraan Pameran;6;12;Hasan, S.Sos, M. Pd;online
MICE-4D;Rabu;12.30 - 13.20;4;Bahasa Jepang 2;2;4;Asrie Rahmiatie, S.S., M.Hum;305
MICE-6D;Rabu;12.30 - 13.20;6;Penyelenggaraan Pameran;6;12;Hasan, S.Sos, M. Pd;online
MICE-4D;Rabu;13.20 - 14.10;4;Public Relation;2;4;Imam Syafganti, S.Sos., M.Si., Ph.D./Karbala Madania, S.I.Kom.,M.Si;108
MICE-6D;Rabu;13.20 - 14.10;6;Penyelenggaraan Pameran;6;12;Hasan, S.Sos, M. Pd;online
MICE-4D;Rabu;14.10 - 15.00;4;Public Relation;2;4;Imam Syafganti, S.Sos., M.Si., Ph.D./Karbala Madania, S.I.Kom.,M.Si;108
MICE-6D;Rabu;14.10 - 15.00;6;Penyelenggaraan Pameran;6;12;Hasan, S.Sos, M. Pd;online
MICE-4D;Rabu;15.15 - 16.05;4;Bahasa Inggris 4;2;4;Dr. Tantri Sari Safitry, S.Pd., M.Pd;112
MICE-4D;Rabu;16.05 - 16.55;4;Bahasa Inggris 4;2;4;Dr. Tantri Sari Safitry, S.Pd., M.Pd;112
MICE-6D;Kamis;07.30 - 08.20;6;Kewirausahaan;2;4;Sudarno, S.E., M.Si.;online
MICE-6D;Kamis;08.20 - 09.10;6;Kewirausahaan;2;4;Sudarno, S.E., M.Si.;online
MICE-4D;Kamis;09.10 - 10.00;4;Bahasa Jepang 2;2;4;Asrie Rahmiatie, S.S., M.Hum;304
MICE-6D;Kamis;09.10 - 10.00;6;Manajemen Sumber Daya Manusia;2;4;Sujiwo Priambodo, S.E., M.M.;online
MICE-4D;Kamis;10.00 - 10.50;4;Bahasa Jepang 2;2;4;Asrie Rahmiatie, S.S., M.Hum;304
MICE-6D;Kamis;10.00 - 10.50;6;Manajemen Sumber Daya Manusia;2;4;Sujiwo Priambodo, S.E., M.M.;online
MICE-4D;Kamis;10.50 - 11.40;4;Perencanaan Incentive Travel;2;4;Dr. Christina L. Rudatin, SE, M.Si;online
MICE-4D;Kamis;12.30 - 13.20;4;Perencanaan Incentive Travel;2;4;Dr. Christina L. Rudatin, SE, M.Si;online
MICE-4D;Kamis;13.20 - 14.10;4;Desain Grafis;2;4;Annisaa Syifa Aqlina, M.Ds.;301
MICE-4D;Kamis;14.10 - 15.00;4;Desain Grafis;2;4;Annisaa Syifa Aqlina, M.Ds.;301
MICE-4D;Kamis;15.15 - 16.05;4;Desain Grafis;2;4;Annisaa Syifa Aqlina, M.Ds.;301
MICE-4D;Kamis;16.05 - 16.55;4;Desain Grafis;2;4;Annisaa Syifa Aqlina, M.Ds.;301
MICE-4D;Jumat;07.30 - 08.20;4;Bahasa Mandarin 1;2;4;Vanya Zelia, S.S, M.Pd;305
MICE-4D;Jumat;08.20 - 09.10;4;Bahasa Mandarin 1;2;4;Vanya Zelia, S.S, M.Pd;305
MICE-4D;Jumat;09.10 - 10.00;4;Bahasa Mandarin 1;2;4;Vanya Zelia, S.S, M.Pd;305
MICE-6D;Jumat;09.10 - 10.00;6;Manajemen Strategik;2;4;Dr. Christina L. Rudatin, SE, M.Si/Karbala Madania S.I.Kom., M.Si;online
MICE-4D;Jumat;10.00 - 10.50;4;Bahasa Mandarin 1;2;4;Vanya Zelia, S.S, M.Pd;305
MICE-6D;Jumat;10.00 - 10.50;6;Manajemen Strategik;2;4;Dr. Christina L. Rudatin, SE, M.Si/Karbala Madania S.I.Kom., M.Si;online
MICE-4D;Jumat;10.50 - 11.40;4;Public Relation;2;4;Imam Syafganti, S.Sos., M.Si., Ph.D./Karbala Madania, S.I.Kom.,M.Si;112
MICE-4D;Jumat;12.30 - 13.20;4;Public Relation;2;4;Imam Syafganti, S.Sos., M.Si., Ph.D./Karbala Madania, S.I.Kom.,M.Si;112
MICE-4D;Jumat;13.20 - 14.10;4;CIQ (Custom Immigration Quarantine);2;4;Raden Ayu Trisnayoni, S.Tr.Par., M.Tr.Par;112
MICE-4D;Jumat;14.10 - 15.00;4;CIQ (Custom Immigration Quarantine);2;4;Raden Ayu Trisnayoni, S.Tr.Par., M.Tr.Par;112
ABT-2A;Senin;07.30 - 08.20;2;English For Business;2;4;Dr. Nidia Sofa, S.Pd.I, M.Pd;105
ABT-4A;Senin;07.30 - 08.20;4;manajemen pengadaan barang dan jasa;3;6;Restu Jati Saputro, S.Si., M.Sc;115
ABT-6A;Senin;07.30 - 08.20;6;Manajemen Inventory;2;4;Nuria Puspitasari, SE., M.EC., Dev;online
